tier	owner	function	file
A_PREDICT	InsiderTrackerAI	getAlphaWallets	v3/scoring/InsiderTrackerAI.kt
A_PREDICT	InsiderTrackerAI	getSignalsByToken	v3/scoring/InsiderTrackerAI.kt
A_PREDICT	InsiderTrackerAI	getSignalsByWallet	v3/scoring/InsiderTrackerAI.kt
H_MUTATOR	InsiderWalletTracker	setSignalCallback	perps/InsiderWalletTracker.kt
A_PREDICT	LiveBreakEvenGuard	expectedEdgePct	engine/LiveBreakEvenGuard.kt
A_PREDICT	LiveBreakEvenGuard	requiredEdgePct	engine/LiveBreakEvenGuard.kt
A_PREDICT	LiveStylePivotRouter	bestQualityLane	engine/LiveStylePivotRouter.kt
A_PREDICT	LiveStylePivotRouter	canGreenBootstrapFullQualityRelease	engine/LiveStylePivotRouter.kt
A_PREDICT	LiveStylePivotRouter	pivotThinDepthToQuality	engine/LiveStylePivotRouter.kt
A_PREDICT	LiveStylePivotRouter	promoteQuality	engine/LiveStylePivotRouter.kt
A_PREDICT	LiveStylePivotRouter	qualityReleaseMultiplier	engine/LiveStylePivotRouter.kt
A_PREDICT	LiveTradeLogStore	terminalPhaseFor	engine/LiveTradeLogStore.kt
A_PREDICT	ManipulatedTraderAI	calcManipScore	v3/scoring/ManipulatedTraderAI.kt
A_PREDICT	MarketStructureRouter	fluidScoreBonus	v3/modes/MarketStructureRouter.kt
A_PREDICT	MetaCognitionAI	patternMapToJson	v3/scoring/MetaCognitionAI.kt
H_MUTATOR	MetaCognitionAI	recordEntryPredictions	v3/scoring/MetaCognitionAI.kt
A_PREDICT	MomentumPredictorAI	getPredictionAccuracy	engine/MomentumPredictorAI.kt
A_PREDICT	MomentumPredictorAI	getStrongMomentumTokens	engine/MomentumPredictorAI.kt
A_PREDICT	NoHardScoreEntryGateGuard6400	hardScoreGateActive	engine/truth/NoHardScoreEntryGateGuard6400.kt
A_PREDICT	OperatorFingerprintAI	scoreHint	v3/scoring/OperatorFingerprintAI.kt
A_PREDICT	OrthogonalSignals	calculateAgePatternScore	engine/OrthogonalSignals.kt
A_PREDICT	PatternBacktester	getConfidenceAdjustments	engine/PatternBacktester.kt
A_PREDICT	PatternClassifier	liveWinRate	engine/PatternClassifier.kt
A_PREDICT	PatternClassifier	liveWinRatePct	engine/PatternClassifier.kt
A_PREDICT	PatternClassifier	paperWinRate	engine/PatternClassifier.kt
A_PREDICT	PatternGoldenGoose	scoreBias	engine/PatternGoldenGoose.kt
A_PREDICT	PerpsAdvancedAI	getHourlyWinRate	perps/PerpsAdvancedAI.kt
A_PREDICT	PerpsAdvancedAI	getMomentumRanking	perps/PerpsAdvancedAI.kt
A_PREDICT	PerpsAutoReplayLearner	getLosingPatterns	perps/PerpsAutoReplayLearner.kt
A_PREDICT	PerpsAutoReplayLearner	getWinningPatterns	perps/PerpsAutoReplayLearner.kt
A_PREDICT	PerpsAutoReplayLearner	matchesLosingPattern	perps/PerpsAutoReplayLearner.kt
A_PREDICT	PerpsAutoReplayLearner	matchesWinningPattern	perps/PerpsAutoReplayLearner.kt
A_PREDICT	PerpsDirection	getSignalStrength	perps/PerpsModels.kt
A_PREDICT	PerpsDirection	isHighConfidence	perps/PerpsModels.kt
G_PROTOCOL	PerpsHandoffIdempotency6632	acknowledgeReceipt	engine/truth/PerpsHandoffIdempotency6632.kt
G_PROTOCOL	PerpsHandoffIdempotency6632	sweepUnacknowledged6632	engine/truth/PerpsHandoffIdempotency6632.kt
A_PREDICT	PerpsLearningBridge	getAccuracy	perps/PerpsLearningBridge.kt
A_PREDICT	PerpsLearningBridge	getStockLayerRecommendations	perps/PerpsLearningBridge.kt
H_MUTATOR	PerpsNotificationManager	notifyPatternDiscovered	perps/PerpsNotificationManager.kt
H_MUTATOR	PerpsNotificationManager	notifyStrongSignal	perps/PerpsNotificationManager.kt
A_PREDICT	PerpsPerformanceAttribution	getLayerRankings	perps/PerpsPerformanceAttribution.kt
A_PREDICT	PerpsTradeHeatmap	getAIRecommendation	perps/PerpsTradeHeatmap.kt
A_PREDICT	PerpsTradeHeatmap	getHeatScore	perps/PerpsTradeHeatmap.kt
A_PREDICT	PerpsTraderAI	getLifetimeWinRatePct	perps/PerpsTraderAI.kt
A_PREDICT	PositionSizing	getRecommendedSize	engine/PositionSizing.kt
A_PREDICT	PythOracle	getConfidencePct	perps/PythOracle.kt
A_PREDICT	QualityTraderAI	getRecommendedLeverage	v3/scoring/QualityTraderAI.kt
A_PREDICT	QuantMetrics	calculateWinRateStats	engine/quant/QuantMetrics.kt
A_PREDICT	QuantMindV2	getEdgeDecay	engine/quant/QuantMindV2.kt
A_PREDICT	QuantMindV2	getMomentumDecomposition	engine/quant/QuantMindV2.kt
A_PREDICT	QuantMindV2	getMomentumState	engine/quant/QuantMindV2.kt
H_MUTATOR	QuantMindV2	updateMomentum	engine/quant/QuantMindV2.kt
H_MUTATOR	ReentryGuard	onBadMemoryScore	engine/ReentryGuard.kt
A_PREDICT	RuntimeTune6833	exitWorkerShouldBoost	engine/truth/RuntimeTune6833.kt
A_PREDICT	RuntimeTune6833	isHighEdge	engine/truth/RuntimeTune6833.kt
A_PREDICT	ScoreComponent	sourceScore	v3/scoring/ScoreCard.kt
A_PREDICT	ScoreDistributionHistogram6396	recommendAdaptiveBaseline	engine/truth/ScoreDistributionHistogram6396.kt
H_MUTATOR	SemanticPatternGraph	addEdge	engine/SemanticPatternGraph.kt
A_PREDICT	SemanticPatternGraph	edgeCount6512	engine/SemanticPatternGraph.kt
H_MUTATOR	SentientPersonality	onTrustScoreChange	engine/SentientPersonality.kt
A_PREDICT	ShadowLearningEngine	getAvoidAccuracy	v3/learning/ShadowLearningEngine.kt
A_PREDICT	ShadowLearningEngine	getPerformanceByConfidence	v3/learning/ShadowLearningEngine.kt
A_PREDICT	ShadowLearningEngine	getPerformanceRanking	engine/ShadowLearningEngine.kt
A_PREDICT	SignalQualityTracker	isPredictive	engine/SignalQualityTracker.kt
A_PREDICT	SmartExitOptimizer	getMinConfidenceAdvisory	engine/SmartExitOptimizer.kt
A_PREDICT	SocialVelocityAI	getBoostAmount	v3/scoring/SocialVelocityAI.kt
A_PREDICT	SocialVelocityAI	isBoosted	v3/scoring/SocialVelocityAI.kt
A_PREDICT	SocialVelocityAI	refreshBoostedTokens	v3/scoring/SocialVelocityAI.kt
A_PREDICT	SocialVelocityAI	refreshBoostedTokensAsync	v3/scoring/SocialVelocityAI.kt
A_PREDICT	SoftScoreShaping6400	softConfidenceFor	engine/truth/SoftScoreShaping6400.kt
E_INFILE	SourceTimingRegistry	isLateSignal	v3/arb/SourceTimingRegistry.kt
A_PREDICT	SuperBrainEnhancements	getAggregatedSignal	engine/SuperBrainEnhancements.kt
A_PREDICT	SymbolicContext	getAllSignals	engine/SymbolicContext.kt
E_INFILE	TacticSwitcher	posteriorLossProbAboveForTest	engine/learning/TacticSwitcher.kt
A_PREDICT	ToolkitSignalSheet	causalScore	engine/ToolkitSignalSheet.kt
A_PREDICT	ToxicModeCircuitBreaker	isToxicPattern	engine/ToxicModeCircuitBreaker.kt
H_MUTATOR	TradeDatabase	clearBadPattern	engine/TradeDatabase.kt
A_PREDICT	TradeDatabase	getSignalWinRate	engine/TradeDatabase.kt
A_PREDICT	TradeHistoryStore	getWinRate24h	engine/TradeHistoryStore.kt
A_PREDICT	TradeLessonRecorder	getWinRateForLane	v4/meta/TradeLessonRecorder.kt
A_PREDICT	TradeLifecycle	noSignal	engine/TradeLifecycle.kt
A_PREDICT	TradingCopilot	confidenceFloor	engine/TradingCopilot.kt
A_PREDICT	TradingCopilot	convictionBoost	engine/TradingCopilot.kt
A_PREDICT	TradingMemory	getPatternWinRate	engine/TradingMemory.kt
A_PREDICT	TradingMemory	matchesRugPattern	engine/TradingMemory.kt
A_PREDICT	TrailingStopManager	getRecommendedStopType	engine/TrailingStopManager.kt
A_PREDICT	TursoClient	getMarketsAssetRankings	collective/TursoClient.kt
H_MUTATOR	TursoClient	savePerpsPattern	collective/TursoClient.kt
A_PREDICT	UnifiedPolicyHead	brierScore	engine/UnifiedPolicyHead.kt
A_PREDICT	UnifiedScorer	scoreWithArb	v3/scoring/UnifiedScorer.kt
G_PROTOCOL	V3VerdictContract6622	softConfidenceMultiplier6622	engine/truth/V3VerdictContract6622.kt
A_PREDICT	WhaleWalletTracker	getWhaleScore	engine/WhaleWalletTracker.kt
A_PREDICT	WhaleWalletTracker	isWhaleReliable	engine/WhaleWalletTracker.kt
B_RISK	AdaptiveVetoConsensusAuthority6728	isHardVeto	engine/truth/AdaptiveVetoConsensusAuthority6728.kt
B_RISK	AntiRewardHackingGuard6439	canExpandRisk	engine/truth/AntiRewardHackingGuard6439.kt
B_RISK	BaseQuoteMintGuard	isBlockedMint	engine/guard/BaseQuoteMintGuard.kt
B_RISK	BaseQuoteMintGuard	isBlockedSymbol	engine/guard/BaseQuoteMintGuard.kt
B_RISK	BotBrain	isInDangerZone	engine/BotBrain.kt
G_PROTOCOL	CanonicalEconomicIdentity6470	breachCount	engine/truth/CanonicalEconomicIdentity6470.kt
G_PROTOCOL	CanonicalFill6393	neverIncreaseRiskForBehindTarget	engine/truth/ForensicFinalityAndTuner6393.kt
G_PROTOCOL	CanonicalFill6393	safetyHardBlock	engine/truth/ForensicFinalityAndTuner6393.kt
G_PROTOCOL	CanonicalLedger6387	canonicalRiskPositionIds	engine/truth/CanonicalLedger6387.kt
G_PROTOCOL	CanonicalLedger6387	canonicalRiskPositionMints	engine/truth/CanonicalLedger6387.kt
B_RISK	CollectiveLearning	getCollectiveTotalTradeCount	collective/CollectiveLearning.kt
H_MUTATOR	DistributionFadeAvoider	clearSuppression	engine/DistributionFadeAvoider.kt
B_RISK	EarlyEntryScout6390	isDistributionRisk	engine/truth/EarlyEntryAndPeakCapture6390.kt
F_DEAD	EdgeLearning	getVetoStickyMinutes	engine/EdgeLearning.kt
B_RISK	EmergentGuardrails	shouldBlockPromotion	engine/EmergentGuardrails.kt
G_PROTOCOL	EntryGateBlockCache6398	shouldEmitCanonicalBlock	engine/truth/EntryGateBlockCache6398.kt
G_PROTOCOL	EvidenceEpochFilter6388	canPassForensicRegressionGuard	engine/truth/GovernorRecoverySubstrate6388.kt
B_RISK	ExitCoordinatorHeartbeat	duplicateSweepsSuppressedCount	engine/ExitCoordinatorHeartbeat.kt
B_RISK	ExternalAlphaFeeds	enrichSafety	v4/meta/ExternalAlphaFeeds.kt
B_RISK	GeminiCopilot	assessRisk	engine/GeminiCopilot.kt
B_RISK	LaneShadowProofLoop	blacklistedLanes	engine/LaneShadowProofLoop.kt
B_RISK	LaneShadowProofLoop	blockLaneResume	engine/LaneShadowProofLoop.kt
E_INFILE	LaneShadowProofLoop	isResumeBlocked	engine/LaneShadowProofLoop.kt
B_RISK	LiquidityCycleAI	getRiskLevel	v3/scoring/LiquidityCycleAI.kt
B_RISK	LiquidityCycleAI	isRisky	v3/scoring/LiquidityCycleAI.kt
B_RISK	LivePipelineTrace6431	bumpBlockReason	engine/truth/LivePipelineTrace6431.kt
F_DEAD	LosingStreakReflex6439	shouldBlockNewBuys	engine/truth/LosingStreakReflex6439.kt
B_RISK	MemeExecutionRouteStack	stackExhausted	engine/execution/MemeExecutionRouteStack.kt
B_RISK	MemePipelineTracer	blockReasons	engine/MemePipelineTracer.kt
B_RISK	MintWorkCoordinator6450	isOpenBlocked	engine/truth/MintWorkCoordinator6450.kt
B_RISK	MoonshotHoldProfileRegistry6415	shouldSuppressTp	engine/truth/MoonshotHoldProfileRegistry6415.kt
G_PROTOCOL	OwnershipClassification6391	isRealExhaustion	engine/truth/SellOnlyHoldRepair6391.kt
B_RISK	PerpsSandbox6463	evaluateRiskExit	engine/truth/PerpsSandbox6463.kt
B_RISK	PositionIdentity6411	guardMerge	engine/truth/PositionIdentity6411.kt
B_RISK	PositionSizing	calculateRiskBasedSize	engine/PositionSizing.kt
B_RISK	ProfitabilityLayer	shouldBlockFeeBandExit	engine/ProfitabilityLayer.kt
B_RISK	ReentryGuard	getBlockedCount	engine/ReentryGuard.kt
B_RISK	ReentryGuard	getBlockedMints	engine/ReentryGuard.kt
B_RISK	ReentryGuard	manualBlock	engine/ReentryGuard.kt
B_RISK	RunnerAutoCompound6422	liveTotalLift	engine/truth/RunnerAutoCompound6422.kt
G_PROTOCOL	SameMintCandidateEpoch6402	totalSuppressed	engine/truth/SameMintCandidateEpoch6402.kt
F_DEAD	SellOnlySafeMode	blockLiveBuyReason	engine/sell/SellOnlySafeMode.kt
B_RISK	SellOnlySafeMode	blockedBuyCount	engine/sell/SellOnlySafeMode.kt
H_MUTATOR	SoftScoreShaping6400	recordMechanicalMinBlock	engine/truth/SoftScoreShaping6400.kt
B_RISK	TelegramBot	alertRisk	engine/TelegramBot.kt
B_RISK	TokenBlacklist	getBlacklistSize	engine/TokenBlacklist.kt
B_RISK	TokenMapVersionGuard6411	guardMetricWrite	engine/truth/TokenMapVersionGuard6411.kt
B_RISK	TradeDatabase	getSuppressionStrength	engine/TradeDatabase.kt
B_RISK	TradeLifecycle	forceExpireBlocked	engine/TradeLifecycle.kt
B_RISK	TradingMemory	getCreatorRugCount	engine/TradingMemory.kt
B_RISK	TradingMemory	getFeatureBucketRisk	engine/TradingMemory.kt
B_RISK	TrailingStopManager	shouldMoveToBreakeven	engine/TrailingStopManager.kt
B_RISK	UltraFastRugDetectorAI	getRugsSaved	v3/scoring/UltraFastRugDetectorAI.kt
B_RISK	V3Adapter	toRiskState	v3/bridge/V3Adapter.kt
B_RISK	V3EngineManager	blockFatal	v3/V3EngineManager.kt
C_EXIT	AdvancedExitManager	calculateExitTargets	v3/scoring/AdvancedExitManager.kt
C_EXIT	AdvancedExitManager	calculateProgressiveTrailingStop	v3/scoring/AdvancedExitManager.kt
C_EXIT	AdvisorIntegrityHold6466	isHold	engine/truth/AdvisorIntegrityHold6466.kt
D_DISPLAY	AnimatedBrainLogoView	stopAnimations	ui/AnimatedBrainLogoView.kt
C_EXIT	BehaviorAI	getStopLossModPct	v3/scoring/BehaviorAI.kt
C_EXIT	BirdeyeApi	getHolderDistribution	network/BirdeyeApi.kt
C_EXIT	BotBrain	effectiveExitThreshold	engine/BotBrain.kt
H_MUTATOR	BotBrain	resetThresholds	engine/BotBrain.kt
C_EXIT	BotRuntimeController	runtimeJobActiveButUiStopped	engine/BotRuntimeController.kt
H_MUTATOR	BuyResult6621	assertOpenedOrCountPremature6621	engine/truth/BuyResult6621.kt
C_EXIT	CanonicalCloseFinality6389	hasDuplicateSellSignature	engine/truth/CanonicalSettlement6389.kt
G_PROTOCOL	CanonicalCloseFinality6389	lastPublishedAt	engine/truth/CanonicalSettlement6389.kt
G_PROTOCOL	CanonicalCloseFinality6389	sellSolReceivedUi	engine/truth/CanonicalSettlement6389.kt
G_PROTOCOL	CanonicalExecutionReceipt6394	applySellCAS	engine/truth/CanonicalExecutionTruth6394.kt
G_PROTOCOL	CanonicalExecutionReceipt6394	computeSellRaw	engine/truth/CanonicalExecutionTruth6394.kt
C_EXIT	CanonicalExecutionReceipt6394	withSell	engine/truth/CanonicalExecutionTruth6394.kt
G_PROTOCOL	CanonicalFill6393	canEnterHoldFromPerformance	engine/truth/ForensicFinalityAndTuner6393.kt
G_PROTOCOL	CanonicalFill6393	catastrophicBackstopPct	engine/truth/ForensicFinalityAndTuner6393.kt
G_PROTOCOL	CanonicalFill6393	protectiveStopRangePct	engine/truth/ForensicFinalityAndTuner6393.kt
G_PROTOCOL	CanonicalFill6393	roundTripInvariantHolds	engine/truth/ForensicFinalityAndTuner6393.kt
G_PROTOCOL	CanonicalFill6393	sizeMultiplierFromDrawdown	engine/truth/ForensicFinalityAndTuner6393.kt
G_PROTOCOL	CanonicalLedger6387	commitSell	engine/truth/CanonicalLedger6387.kt
G_PROTOCOL	CanonicalLotQuantity6464	reserveForSell	engine/truth/CanonicalLotQuantity6464.kt
C_EXIT	CanonicalLotQuantity6464	sellable	engine/truth/CanonicalLotQuantity6464.kt
C_EXIT	CanonicalLotQuantity6464	sellable	engine/truth/CanonicalLotQuantity6464.kt
G_PROTOCOL	CanonicalPositionAuthority6441	activeMintProjections6489	engine/truth/CanonicalPositionAuthority6441.kt
G_PROTOCOL	CanonicalTokenAmount	requireValidForSell	engine/truth/CanonicalTokenAmount6522.kt
G_PROTOCOL	CounterParityLedger6399	recordSellExecutorInvocation	engine/truth/CounterParityLedger6399.kt
C_EXIT	CounterfactualReplayEngine	mctsExitPolicyHint	engine/CounterfactualReplayEngine.kt
C_EXIT	CryptoBrain	laneExitVerdict	perps/crypto/brain/CryptoBrain.kt
C_EXIT	CryptoLaneExitTuner	profitFactor	perps/crypto/brain/CryptoLaneExitTuner.kt
C_EXIT	EarlyEntryScout6390	peakGainPctFor	engine/truth/EarlyEntryAndPeakCapture6390.kt
C_EXIT	EarlyEntryScout6390	shouldExitOnTrail	engine/truth/EarlyEntryAndPeakCapture6390.kt
C_EXIT	EarlyEntryScout6390	trailPctForPeakGain	engine/truth/EarlyEntryAndPeakCapture6390.kt
C_EXIT	EconomicOutcome6472	ofSell	engine/truth/EconomicOutcome6472.kt
C_EXIT	EducationSubLayerAI	getCurriculumHoldStats	v3/scoring/EducationSubLayerAI.kt
C_EXIT	EmergentLlmClient	narrateExit	network/EmergentLlmClient.kt
G_PROTOCOL	EvidenceEpochFilter6388	buildFullExitPlan	engine/truth/GovernorRecoverySubstrate6388.kt
G_PROTOCOL	EvidenceEpochFilter6388	p1FaultLiveReconcilerMissingWithHoldings	engine/truth/GovernorRecoverySubstrate6388.kt
G_PROTOCOL	EvidenceEpochFilter6388	requiresFullExit	engine/truth/GovernorRecoverySubstrate6388.kt
G_PROTOCOL	ExecutionAttemptLease	activeSellLeases	engine/ExecutionAttemptLease.kt
G_PROTOCOL	ExecutionCounterContract	recordJournalSellWrite	engine/runtime/ExecutionCounterContract.kt
G_PROTOCOL	ExecutorCanonicalMirror6442	sellIdempotencyKey	engine/truth/ExecutorCanonicalMirror6442.kt
C_EXIT	ExitIntelligence	confirmPartialExit	engine/ExitIntelligence.kt
C_EXIT	ExitIntelligence	getLearnedMaxHoldMinutes	engine/ExitIntelligence.kt
C_EXIT	ExitIntelligence	getProfitableRate	engine/ExitIntelligence.kt
C_EXIT	ExitManager	shouldPartialSell	engine/ExitManager.kt
G_PROTOCOL	ExitPipelineInvariant6411	onExitSweepStart	engine/truth/ExitPipelineInvariant6411.kt
H_MUTATOR	FeeAccumulator	setFlushThresholdSol	engine/FeeAccumulator.kt
C_EXIT	FinalizedSellProof6386	classifyPartial	engine/truth/FinalizedSellProof6386.kt
C_EXIT	FluidLearning	getSimulatedPeak	engine/FluidLearning.kt
C_EXIT	FluidLearningAI	calculateNetPnl	v3/scoring/FluidLearningAI.kt
F_DEAD	FluidLearningAI	getAltsLevTpPct	v3/scoring/FluidLearningAI.kt
F_DEAD	FluidLearningAI	getAltsSpotConfThreshold	v3/scoring/FluidLearningAI.kt
F_DEAD	FluidLearningAI	getAltsSpotTpPct	v3/scoring/FluidLearningAI.kt
C_EXIT	FluidLearningAI	getBreakoutThreshold	v3/scoring/FluidLearningAI.kt
C_EXIT	FluidLearningAI	getFeeAdjustedTakeProfit	v3/scoring/FluidLearningAI.kt
C_EXIT	FluidLearningAI	getLayerHoldParams	v3/scoring/FluidLearningAI.kt
E_INFILE	FluidLearningAI	getMarketsTakeProfitPct	v3/scoring/FluidLearningAI.kt
F_DEAD	FluidLearningAI	getMarketsUncappedTpPct	v3/scoring/FluidLearningAI.kt
C_EXIT	FluidLearningAI	getMinProfitableExitPct	v3/scoring/FluidLearningAI.kt
C_EXIT	FluidLearningAI	isHoldTimeExceeded	v3/scoring/FluidLearningAI.kt
C_EXIT	FluidLearningAI	isNetProfitable	v3/scoring/FluidLearningAI.kt
C_EXIT	ForexStrategy	tpSlPips	perps/strategy/ForexStrategy.kt
C_EXIT	ForexStrategy	tpSlPrices	perps/strategy/ForexStrategy.kt
H_MUTATOR	GlobalCapitalArbitration6617	recordSpecialistProposal6617	engine/truth/GlobalCapitalArbitration6617.kt
C_EXIT	GlobalTradeRegistry	getProbationStats	engine/GlobalTradeRegistry.kt
C_EXIT	GovernorRecovery6388	lastPromotionReason	engine/truth/GovernorRecovery6388.kt
C_EXIT	HistoricalChartScanner	getProgress	engine/HistoricalChartScanner.kt
C_EXIT	HoldTimeOptimizerAI	getCurrentHoldSeconds	v3/scoring/HoldTimeOptimizerAI.kt
C_EXIT	HoldTimeOptimizerAI	isHoldTimeOptimal	v3/scoring/HoldTimeOptimizerAI.kt
C_EXIT	HoldingLogicLayer	getHoldParams	engine/HoldingLogicLayer.kt
C_EXIT	HostWalletTokenTracker	getPendingOrOpenCount	engine/HostWalletTokenTracker.kt
C_EXIT	HostWalletTokenTracker	isSellInFlight	engine/HostWalletTokenTracker.kt
H_MUTATOR	HostWalletTokenTracker	markSellNoSignatureUnlocked	engine/HostWalletTokenTracker.kt
H_MUTATOR	HostWalletTokenTracker	recordSellPending	engine/HostWalletTokenTracker.kt
C_EXIT	HotPathLaneGate	mayProceedHotPath	engine/HotPathLaneGate.kt
G_PROTOCOL	IdempotencyKeyStore6437	sellKey	engine/truth/IdempotencyKeyStore6437.kt
G_PROTOCOL	JournalReceiptAccounting6663	getPaperStats	engine/TradeJournal.kt
C_EXIT	JupiterPerps	getPoolInfo	perps/JupiterPerps.kt
C_EXIT	LaneStrategyEvaluator	defaultProfiles	engine/LaneStrategyEvaluator.kt
C_EXIT	LearnerRuntimeBudgetGuard6441	shouldStop	engine/truth/LearnerRuntimeBudgetGuard6441.kt
G_PROTOCOL	LiveContinuityPolicy6392	cadenceInvariantHolds	engine/truth/LiveContinuity6392.kt
C_EXIT	LiveContinuityPolicy6392	inventoryConservationHolds	engine/truth/LiveContinuity6392.kt
C_EXIT	LiveContinuityPolicy6392	profitPartialAcceptable	engine/truth/LiveContinuity6392.kt
C_EXIT	LiveExecutionGate	sellCompleted	engine/LiveExecutionGate.kt
C_EXIT	LiveExecutionGate	trySell	engine/LiveExecutionGate.kt
C_EXIT	LiveExitOnlyMode6387	classifyForStop	engine/truth/LiveTruthExitAuthority6387.kt
H_MUTATOR	LivePositionCloseAuthority	purgeSellResidue	engine/sell/LivePositionCloseAuthority.kt
C_EXIT	LiveSafetyCircuitBreaker	isSessionDrawdownPressureActive	engine/LiveSafetyCircuitBreaker.kt
